beta_cs_fear_store,beta_cs_ext_store,beta_ctx_fear_store,beta_ctx_ext_store,beta_us_ext_store,phi_mean,phi_std,fear_cs_mean,fear_cs_std,fear_us_mean,fear_us_std,fear_ctx_fear_mean,fear_ctx_fear_std,fear_ctx_ext_mean,fear_ctx_ext_std,ext_cs_mean,ext_cs_std,ext_us_mean,ext_us_std,ext_ctx_ext_mean,ext_ctx_ext_std,ext_ctx_fear_mean,ext_ctx_fear_std,shared_cs_frac_mean,shared_cs_frac_std,ctx_sep_ext_mean,ctx_sep_fear_mean,storage_score
0.05,0.0,0.1,0.1,-0.9,0.3125,0.39734273618628035,0.125,0.024999999999999994,0.2333333333333333,0.109924216318941,0.1375,0.04310033513661917,0.12083333333333332,0.043100335136619164,0.10833333333333334,0.014433756729740649,0.041666666666666664,0.05335936864527374,0.2416666666666667,0.04166666666666667,0.08750000000000001,0.02975595178559521,0.01,0.014577379737113252,0.15416666666666667,0.01666666666666669,2.111018805705894
0.05,0.08,0.35,0.1,0.0,0.3225,0.3912240406723493,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.1375,0.021650635094610963,0.10833333333333334,0.038188130791298666,0.15833333333333333,0.018633899812498245,0.08333333333333334,0.03118047822311618,0.0125,0.01346291201783626,0.07499999999999998,0.004166666666666666,2.1121147480113653
0.05,0.08,0.6,0.1,0.0,0.3225,0.3912240406723493,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.1375,0.021650635094610963,0.10833333333333334,0.038188130791298666,0.15833333333333333,0.018633899812498245,0.08333333333333334,0.03118047822311618,0.0125,0.01346291201783626,0.07499999999999998,0.004166666666666666,2.1121147480113653
0.05,0.16,0.35,0.1,-0.6,0.3225,0.3912240406723493,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.1375,0.021650635094610963,0.10833333333333334,0.038188130791298666,0.15833333333333333,0.018633899812498245,0.08333333333333334,0.03118047822311618,0.0125,0.01346291201783626,0.07499999999999998,0.004166666666666666,2.1121147480113653
0.05,0.16,0.35,0.1,-0.3,0.3225,0.3912240406723493,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.1375,0.021650635094610963,0.10833333333333334,0.038188130791298666,0.15833333333333333,0.018633899812498245,0.08333333333333334,0.03118047822311618,0.0125,0.01346291201783626,0.07499999999999998,0.004166666666666666,2.1121147480113653
0.05,0.16,0.6,0.1,-0.6,0.3225,0.3912240406723493,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.1375,0.021650635094610963,0.10833333333333334,0.038188130791298666,0.15833333333333333,0.018633899812498245,0.08333333333333334,0.03118047822311618,0.0125,0.01346291201783626,0.07499999999999998,0.004166666666666666,2.1121147480113653
0.05,0.16,0.6,0.1,-0.3,0.3225,0.3912240406723493,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.1375,0.021650635094610963,0.10833333333333334,0.038188130791298666,0.15833333333333333,0.018633899812498245,0.08333333333333334,0.03118047822311618,0.0125,0.01346291201783626,0.07499999999999998,0.004166666666666666,2.1121147480113653
0.05,0.0,0.35,0.35,-0.9,0.31000000000000005,0.39881073205218537,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.11250000000000002,0.00721687836487032,0.0375,0.05574620066774855,0.2791666666666667,0.055746200667748554,0.08750000000000001,0.02975595178559521,0.01,0.014577379737113252,0.19166666666666665,0.004166666666666666,2.112288130771038
0.05,0.0,0.6,0.35,-0.9,0.31000000000000005,0.39881073205218537,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.11250000000000002,0.00721687836487032,0.0375,0.05574620066774855,0.2791666666666667,0.055746200667748554,0.08750000000000001,0.02975595178559521,0.01,0.014577379737113252,0.19166666666666665,0.004166666666666666,2.112288130771038
0.05,0.0,0.35,0.35,-0.6,0.31000000000000005,0.39881073205218537,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.10833333333333334,0.014433756729740649,0.05,0.05137011669140814,0.26666666666666666,0.05137011669140814,0.08750000000000001,0.02975595178559521,0.01,0.014577379737113252,0.17916666666666664,0.004166666666666666,2.1206214641043712
